test_question,train_question_1,train_question_2,train_question_3,score_1,score_2,score_3
제진구조는 건물 구조 중에서 어떤 역할을 하는 건가요? 그리고 중목구조 방식에 대해 좀 더 자세히 설명해 주실 수 있을까요?,조적식 구조에 대해 좀 더 자세히 설명해 주실 수 있을까요?,중목구조 방식에 대해서 좀 더 자세히 알고 싶어요.,중목구조 방식이 뭐야?,[[0.39980964]],[[0.39029523]],[[0.24608563]]
작은 공간의 홈오피스에 원목사이딩을 사용할 때 고려해야 할 단점과 이를 극복하기 위한 인테리어 팁은 무엇인가요?,원목사이딩을 사용하는데 어떤 단점이 있을까요?,내 작은 주방을 활용한 인테리어 아이디어가 필요해요.,층간소음을 줄이기 위한 인테리어 추천해줘,[[0.2568344]],[[0.20641832]],[[0.18628256]]
"알루미늄징크의 단점에 대해서 자세히 알려주세요 또한, 아이소핑크의 장점은 무엇인가요?",알루미늄징크의 장점은 뭐야?,금속기와의 장점은 뭐야?,스타코플렉스의 장점은 뭐야?,[[0.50504962]],[[0.16678173]],[[0.15046519]]
겨울철 도배 작업에서 실내 온도를 일정하게 유지해야 하는 이유는 무엇인가요?,큐블럭을 사용하는 이유는 무엇인가요?,한지벽지를 선택하는 이유는 무엇인가요?,파벽돌을 사용할 때 주의해야 하는 점은 무엇인가요?,[[0.37430283]],[[0.3531186]],[[0.21769287]]
철골구조의 화재 안전 보완을 위한 다양한 방법에는 무엇이 있을까요? 그리고 벽돌구조란 무엇인가요?,철골구조의 다양한 방식이 무엇인가요?,철골구조의 장점이 뭐야?,내진설계의 종류 좀 알려줘,[[0.50401922]],[[0.32092985]],[[0.]]
석구조란 무엇인가요? 그리고 기둥-보 구조 방식은 무엇을 의미하나요?,기둥-보 구조 방식은 무엇인가요?,기둥-보 구조 방식이 뭐야?,중목구조 방식이 뭐야?,[[0.8384481]],[[0.56609778]],[[0.]]
포세린 타일을 사용하는 것에 대한 단점이 무엇인가요? 그리고 셀룰로오스의 단점에 대해 설명해주세요.,폴리싱 타일을 사용하는 것에 대한 주요 단점이 무엇인가요?,포세린 타일을 사용하는 것의 단점은 무엇인가요?,셀룰로오스의 단점이 뭐야?,[[0.58433574]],[[0.43033976]],[[0.39694925]]
부드러운 욕실 인테리어를 위해 사용할 수 있는 소재나 색상은 어떤 것들이 있을까요? 그리고 반려동물을 위한 바닥재에는 어떤 종류가 있는지 알려주세요.,부드러운 욕실 인테리어를 위해 사용할 수 있는 색상이나 소품에는 어떤 것들이 있을까요?,방수용 도료의 종류가 어떤 것들이 있는지 알려주세요.,흡음재 중 다공질에는 어떤 종류가 있는지 알려주세요.,[[0.66663973]],[[0.39517927]],[[0.33374291]]
"팬던트 라이트는 무엇이며, 어떤 용도로 사용되나요? 그리고 인테리어에서 바닥재를 선택할 때 고려해야 할 중요한 요소는 무엇인가요?",인테리어에서 벽지를 선택할 때 고려해야 할 중요한 요소는 무엇인가요?,팬던트 라이트에 대해 설명해줘,기존 바닥재 위에 새 바닥재를 덧방해도 되나요?,[[0.56937358]],[[0.20142475]],[[0.13087256]]
속건형 유성 발수제가 건물의 수명을 연장시키는 원리는 무엇인가요?,속건형 유성 발수제가 뭐야?,유성 발수제가 뭐야?,속건형 유성 발수제의 장점이 뭐야?,[[0.80575104]],[[0.64454798]],[[0.49774915]]
주방에서 조리할 때 어떤 종류의 조명이 가장 적합한가요?,실내 조명을 선택할 때 어떤 종류의 조명이 가장 적합한가요?,"셀룰로오스 단열재는 어떤 소재로 만들어지며, 어떤 종류의 건물 또는 구조물에 사용하기 적합한가요?",어떤 종류의 벽지가 있나요?,[[0.76910178]],[[0.3024036]],[[0.28738478]]
"인테리어에서 생기 넘치는 식물과 아트워크를 부착할 때 밀풀을 사용하는 것이 좋은가요, 그리고 밀풀 사용 시 주의할 점은 무엇인가요?",장롱을 옮길 때 주의할 점은 무엇인가요?,인테리어에 사용되는 소품을 선택할 때 주의할 점은 무엇인가요?,벽면에 그림이나 포스터를 걸 때 주의할 점은 무엇인가요?,[[0.37109747]],[[0.33877268]],[[0.33682692]]
철근콘크리트 구조에 대해 좀 더 자세히 알려주세요. 그리고 통나무구조 방식은 어떤 건물에 사용되는 건축 구조 방식인가요?,기둥-보 구조 방식은 무엇인가요?,통나무구조 방식이 뭐야?,철근콘크리트 구조가 뭐야?,[[0.40057181]],[[0.26862606]],[[0.25672521]]
공명형 흡음재가 특정 주파수에 한정적으로 적용되는 이유는 무엇인가요?,큐블럭을 사용하는 이유는 무엇인가요?,한지벽지를 선택하는 이유는 무엇인가요?,리얼징크는 무엇인가요?,[[0.61730988]],[[0.58237229]],[[0.16002048]]
"결로의 발생 원인은 무엇이고, 이를 방지하기 위해 어떤 시공방법을 사용해야 하나요?",창호 결로의 원인은 뭐야?,부엌 및 욕실의 결로의 원인은 뭐야?,친환경적인 인테리어를 추구하려면 어떤 재료를 사용해야 하나요?,[[0.34671711]],[[0.2882159]],[[0.22406835]]
베란다를 활용하여 야외 라운지를 만들기 위해 필요한 장비나 소품은 어떤 것이 있을까요와 거실에 현대적인 느낌을 주기 위한 팁은 무엇인가요의 관계는 무엇인가요?,베란다를 활용하여 야외 라운지를 만드는 데 필요한 장비나 가구는 무엇이 있을까요?,어떻게 베란다를 활용하여 야외 라운지 공간을 만들 수 있을까요?,어떻게 테라스를 활용하여 야외 공간을 아늑하게 꾸밀 수 있을까요?,[[0.55052326]],[[0.31130502]],[[0.18853294]]
페인트 작업 시 유해물질을 최소화하기 위해 어떤 점을 유의해야 하나요?,인테리어에서 벽지를 선택할 때 어떤 점을 주의해야 하나요?,냉장고를 옮길 때 어떤 점을 주의해야 하나요?,방청산화철페인트를 사용하는데 어떤 점을 주의해야 하나요?,[[0.38612425]],[[0.38281468]],[[0.36497717]]
흡음재 중 판 진동형의 작동 원리는 무엇인가요?,이산화탄소 소화기의 작동 원리가 무엇인가요?,흡음재 중 다공질이 뭐야?,가루풀에 대해 알려줘,[[0.45387627]],[[0.31199676]],[[0.]]
"점토벽돌을 사용하는 것의 장점은 무엇인가요? 또한, 도료와 벽지 중에서 어떤 것을 선택하는 것이 더 나은 선택일까요?",차음재와 흡음재 중에서 어떤 것을 선택하는 것이 더 효과적일까요?,롱브릭타일을 사용하는 것의 장점은 무엇인가요?,장판을 사용하는 것의 장점은 무엇인가요?,[[0.44820809]],[[0.40670932]],[[0.40670932]]
"강화마루는 어떤 재료로 제작되나요? 또한, 징크판넬의 단점에는 어떤 것들이 있을까요?",징크판넬의 장점이 뭐야?,강화마루는 기대수명이 얼마야?,목구조는 어떤 방식이 있어?,[[0.35620596]],[[0.32384413]],[[0.07460655]]
"벽에 타공하자가 발생했을 때, 이로 인해 벽장 부위에 결로가 생길 수 있는지, 그리고 이를 방지하기 위한 방법은 무엇인가요?","높은 습도로 인해 도배지의 끝부분이 들뜰 수 있는데, 이를 방지하기 위한 방법이 있을까요?",외벽 모서리 부위에 결로가 발생하는 원인이 뭐야?,부실 시공으로 인해 타공하자가 발생할 수 있어?,[[0.31334872]],[[0.23699705]],[[0.22505411]]
물 누수로 인한 곰팡이와 곰팡이 냄새를 제거하는 데 사용할 수 있는 가정용 청소용품이 있을까요? 그리고 펫테리어가 무엇인지 자세히 알려주세요.,벽면에서 발생한 물 누수로 인해 발생한 곰팡이와 곰팡이 냄새를 제거하는 데 사용할 수 있는 청소용품이 있을까요?,벽면에서 발생한 물 누수로 인한 곰팡이와 곰팡이 냄새를 어떻게 제거하나요?,곰팡이 색깔은?,[[0.62943687]],[[0.52505516]],[[0.18717381]]
도배지를 너무 작게 자르면 어떤 문제가 발생할 수 있을까요? 그리고 높은 습도로 인해 도배지 패턴이 이어지지 않을 수 있는 이유가 무엇일까요?,높은 습도로 인해 도배지 패턴이 이어지지 않을 수 있어?,부주의한 시공으로 인해 도배지 패턴이 이어지지 않을 수 있어?,높은 습도로 인해 도배지와 몰딩면에 틈새가 생길 수 있어?,[[0.59780631]],[[0.40993868]],[[0.21220728]]
알러지가 있는 사람들이 매끄럽고 평평한 벽지를 선택하는 이유는 무엇인가요?,탄화목사이딩을 선택하는 이유는 무엇인가요?,한지벽지를 선택하는 이유는 무엇인가요?,인테리어에서 벽지를 선택하는데 주의해야 할 점은 무엇인가요?,[[0.43443839]],[[0.43443839]],[[0.20586112]]
아파트 도배 평수를 계산하는 방법과 소화기 설치 시 주의해야 할 사항에 대해 설명해줄 수 있나요?,소화기 설치 기준이 뭐야?,공동주택의 실내 라돈의 측정지점은 어떻게 돼?,아세톤에 노출되면 어디가 안좋아?,[[0.46416168]],[[0.]],[[0.]]
마감재의 하자를 판단하는 데 어떤 방법을 사용해야 할까요? 그리고 라돈을 측정하는 데 가장 적합한 지점은 어디인가요?,마감재의 하자를 어떻게 확인할 수 있을까요?,마감재의 하자여부는 어떻게 판단해?,라돈을 제외한 공동주택의 실내공기질 측정지점이 어떻게 돼?,[[0.38522857]],[[0.19527161]],[[0.17419717]]
이산화탄소 소화기에 대해 좀 더 자세히 알 수 있을까요? 그리고 분말 소화기는 어떤 용도로 사용되는 건가요?,분말 소화기는 어떤 용도로 사용되나요?,이산화탄소 소화기가 뭐야?,분말 소화기가 뭐야?,[[0.60799886]],[[0.29821596]],[[0.26618641]]
면진장치는 어떤 용도로 사용되는 건가요? 그리고 면진구조는 어떤 건물 구조나 시스템을 의미하나요?,몰딩수정은 어떤 용도로 사용되는 건가요?,걸레받이는 어떤 용도로 사용되는 건가요?,발포우레탄폼은 어떤 용도로 사용되는 건가요?,[[0.50709693]],[[0.49622707]],[[0.49622707]]
"외단열재가 실내 온도 유지에 어떻게 도움을 주며, 이를 시공할 때 고려해야 할 주요 장점들은 무엇인가요?",유성페인트의 주요 특징은 무엇인가요?,실내 조명을 선택할 때 어떤 종류의 조명을 고려해야 하나요?,공동주택의 실내 라돈의 측정지점은 어떻게 돼?,[[0.29337577]],[[0.26617258]],[[0.23224576]]
"외단열과 내단열의 차이점은 무엇이며, 각각의 시공방법이 어떻게 단열 효과에 영향을 미치나요?",방청페인트 시공방법이 뭐야?,콘크리트는 어떻게 처리해?,도배지가 남으면 어떻게 처리해?,[[0.35523938]],[[0.07736307]],[[0.07154107]]
"바닥재의 종류 중에서 가장 인기 있는 것은 무엇이며, 가장 비싼 바닥재는 무엇인가요?",가장 비싼 바닥재는 뭐야?,바닥재의 종류는 뭐가 있어?,페인트의 종류 좀 알려줘,[[0.56784845]],[[0.21478629]],[[0.17721394]]
포세린 타일의 장점과 단점은 무엇인가요?,포세린 타일의 장점이 뭐야?,포세린 타일의 단점이 뭐야,평지붕의 단점은 뭐야?,[[0.59706861]],[[0.59518418]],[[0.25577567]]
중목구조 방식에 대해 좀 더 자세히 설명해 주실 수 있을까요? 그리고 철근콘크리트 구조에 대해 좀 더 자세히 알려주세요.,조적식 구조에 대해 좀 더 자세히 설명해 주실 수 있을까요?,중목구조 방식에 대해서 좀 더 자세히 알고 싶어요.,중목구조 방식이 뭐야?,[[0.68818277]],[[0.46420434]],[[0.24349111]]
"도배지는 얼마나의 양이 필요한가요? 또한, 벽에 구멍을 막는 가장 효과적인 방법은 무엇인가요?",벽에 구멍을 막는 방법은?,도배지는 얼마나 필요해,벽에 뚫린 구멍이 이상해,[[0.69957985]],[[0.28498844]],[[0.14023734]]
"경질우레탄폼 보온판을 사용한 외단열 시공은 어떤 장점을 가지며, 이를 통해 어떻게 결로와 곰팡이 발생을 줄일 수 있나요?",곰팡이 색깔은?,경질우레탄폼 보온판에 대해 설명해줘,도배지가 남으면 어떻게 처리해?,[[0.24676244]],[[0.24538902]],[[0.05918657]]
질석벽지가 아트월이나 현관 입구에 많이 사용되는 이유는 무엇인가요?,질석벽지가 뭐야?,도배와 페인트 시공 중 뭐가 더 비용이 많이 들어?,직물벽지가 뭐야?,[[0.5456133]],[[0.19840478]],[[0.]]
시트 방수공사를 통해 건물의 에너지 절감 효과를 어떻게 얻을 수 있나요?,시트 방수공사가 뭐야?,콘크리트는 어떻게 처리해?,도배지가 남으면 어떻게 처리해?,[[0.37445237]],[[0.08483998]],[[0.0784553]]
내진설계에서 안정성을 높이기 위한 순서는 무엇인가요? 그리고 내진구조란 무엇인가요?,내진설계에서 안전성을 높이기 위한 순서는 무엇인가요?,내진설계에서 안정성이 높은 순서대로 말해줘,일반철골구조가 뭐야?,[[0.8642155]],[[0.21358164]],[[0.]]
분말 소화기를 사용할 때 주의해야 할 사항은 무엇인가요? 그리고 아파트 도배 평수를 어떻게 계산해야 하나요?,아파트 도배를 평수를 어떻게 계산해야 하나요?,분말 소화기를 사용할 때 주의할 점이 뭐야?,아파트 도배평수는 어떻게 게산해?,[[0.61714108]],[[0.42090522]],[[0.23571357]]
압출법 보온판의 가장 큰 장점은 무엇인가요?,압출법 보온판에 대해 설명해줘,알루미늄징크의 장점은 뭐야?,금속기와의 장점은 뭐야?,[[0.41168147]],[[0.25162891]],[[0.25162891]]
평지붕의 누수 문제를 방지하기 위해 수성 벽체용 탄성 방수 도료를 사용하는 것이 어떤 장점이 있나요?,수성 벽체용 탄성 방수 도료의 장점이 뭐야?,평지붕의 장점은 뭐야?,평지붕의 단점은 뭐야?,[[0.51926932]],[[0.22906909]],[[0.22079536]]
"석고수정이 발생하는 가장 큰 원인은 무엇인가요? 그리고 이를 해결하는 방법에 대해 알려주세요.""",석고수정이 뭐야?,구조적 결함으로 인해 석고수정이 발생할 수 있어?,높은 습도에 의해 석고수정이 발생할 수 있어?,[[0.32144393]],[[0.15057326]],[[0.14806313]]
카페트의 기대 수명은 얼마나 될까요? 그리고 오리지널징크의 장점에는 무엇이 있나요?,카페트의 기대 수명은 얼마나 돼?,오리지널징크의 장점이 뭐야?,페인트 상도재가 뭐야?,[[0.69306226]],[[0.2953966]],[[0.]]
